Wl;L (W m-2 ste-1 nm-1);fwhm
305.76;1.01E-09;
306;1.00E-09;
306.24;1.04E-09;
306.48;1.06E-09;
306.72;1.02E-09;
306.96;1.01E-09;
307.2;1.04E-09;
307.44;9.99E-10;
307.68;9.77E-10;
307.92;8.99E-10;
308.16;9.88E-10;
308.4;1.06E-09;
308.64;1.01E-09;
308.88;1.02E-09;
309.12;1.07E-09;
309.36;1.13E-09;
309.6;1.14E-09;
309.84;1.11E-09;
310.08;1.17E-09;
310.32;1.16E-09;
310.56;1.06E-09;
310.8;1.03E-09;
311.04;1.12E-09;
311.28;1.17E-09;
311.52;1.23E-09;
311.76;1.16E-09;
312;1.07E-09;
312.24;1.15E-09;
312.48;1.20E-09;
312.72;1.23E-09;
312.96;1.28E-09;
313.2;1.26E-09;
313.44;1.27E-09;
313.68;1.16E-09;
313.92;1.16E-09;
314.16;1.22E-09;
314.4;1.21E-09;
314.64;1.21E-09;
314.88;1.30E-09;
315.12;1.20E-09;
315.36;1.24E-09;
315.6;1.37E-09;
315.84;1.33E-09;
316.08;1.34E-09;
316.32;1.38E-09;
316.56;1.44E-09;
316.8;1.48E-09;
317.04;1.50E-09;
317.28;1.48E-09;
317.52;1.34E-09;
317.76;1.32E-09;
318;1.49E-09;
318.24;1.51E-09;
318.48;1.47E-09;
318.72;1.38E-09;
318.96;1.35E-09;
319.2;1.38E-09;
319.44;1.42E-09;
319.68;1.53E-09;
319.92;1.56E-09;
320.16;1.48E-09;
320.4;1.57E-09;
320.64;1.53E-09;
320.88;1.38E-09;
321.12;1.38E-09;
321.36;1.45E-09;
321.6;1.46E-09;
321.84;1.44E-09;
322.08;1.47E-09;
322.32;1.57E-09;
322.56;1.60E-09;
322.8;1.55E-09;
323.04;1.66E-09;
323.28;1.66E-09;
323.52;1.58E-09;
323.76;1.56E-09;
324;1.58E-09;
324.24;1.57E-09;
324.48;1.58E-09;
324.72;1.61E-09;
324.96;1.60E-09;
325.2;1.68E-09;
325.44;1.68E-09;
325.68;1.67E-09;
325.92;1.68E-09;
326.16;1.60E-09;
326.4;1.57E-09;
326.64;1.66E-09;
326.88;1.65E-09;
327.12;1.60E-09;
327.36;1.65E-09;
327.6;1.69E-09;
327.84;1.73E-09;
328.08;1.87E-09;
328.32;1.77E-09;
328.56;1.73E-09;
328.8;1.83E-09;
329.04;1.84E-09;
329.28;1.74E-09;
329.52;1.75E-09;
329.76;1.86E-09;
330;1.96E-09;
330.24;2.07E-09;
330.48;2.09E-09;
330.72;2.26E-09;
330.96;2.25E-09;
331.2;2.26E-09;
331.44;2.29E-09;
331.68;2.26E-09;
331.92;2.33E-09;
332.16;2.42E-09;
332.4;2.59E-09;
332.64;2.69E-09;
332.88;2.84E-09;
333.12;2.96E-09;
333.36;3.04E-09;
333.6;3.00E-09;
333.84;2.89E-09;
334.08;2.87E-09;
334.32;2.95E-09;
334.56;2.98E-09;
334.8;3.23E-09;
335.04;3.42E-09;
335.28;3.49E-09;
335.52;3.74E-09;
335.76;3.86E-09;
336;4.04E-09;
336.24;4.25E-09;
336.48;4.48E-09;
336.72;4.77E-09;
336.96;5.03E-09;
337.2;5.11E-09;
337.44;5.27E-09;
337.68;5.46E-09;
337.92;5.75E-09;
338.16;6.03E-09;
338.4;6.03E-09;
338.64;6.12E-09;
338.88;6.26E-09;
339.12;6.27E-09;
339.36;6.31E-09;
339.6;6.51E-09;
339.84;6.90E-09;
340.08;7.24E-09;
340.32;7.55E-09;
340.56;7.61E-09;
340.8;7.75E-09;
341.04;7.91E-09;
341.28;8.01E-09;
341.52;7.99E-09;
341.76;7.78E-09;
342;7.51E-09;
342.24;7.43E-09;
342.48;7.47E-09;
342.72;7.81E-09;
342.96;8.52E-09;
343.2;9.07E-09;
343.44;9.36E-09;
343.68;9.41E-09;
343.92;9.36E-09;
344.16;9.41E-09;
344.4;9.65E-09;
344.64;9.97E-09;
344.88;1.03E-08;
345.12;1.04E-08;
345.36;1.02E-08;
345.6;1.01E-08;
345.84;1.02E-08;
346.08;1.05E-08;
346.32;1.08E-08;
346.56;1.09E-08;
346.8;1.11E-08;
347.04;1.12E-08;
347.28;1.11E-08;
347.52;1.12E-08;
347.76;1.15E-08;
348;1.20E-08;
348.24;1.27E-08;
348.48;1.32E-08;
348.72;1.33E-08;
348.96;1.30E-08;
349.2;1.27E-08;
349.44;1.24E-08;
349.68;1.25E-08;
349.92;1.29E-08;
350.16;0.16744911;
350.4;0.16330543;
350.64;0.15796968;
350.88;0.15773085;
351.12;0.16475564;
351.36;0.17304109;
351.6;0.17982959;
351.84;0.18600511;
352.08;0.18937789;
352.32;0.18919941;
352.56;0.19347337;
352.8;0.19357093;
353.04;0.19219336;
353.28;0.19176576;
353.52;0.18816401;
353.76;0.18363026;
354;0.17989975;
354.24;0.17705908;
354.48;0.1745767;
354.72;0.17098101;
354.96;0.1660774;
355.2;0.16344701;
355.44;0.1586243;
355.68;0.15876273;
355.92;0.15982304;
356.16;0.16179877;
356.4;0.15896846;
356.64;0.15401415;
356.88;0.15474231;
357.12;0.16302574;
357.36;0.17638931;
357.6;0.19171416;
357.84;0.20102143;
358.08;0.20343073;
358.32;0.20061846;
358.56;0.19213864;
358.8;0.18059102;
359.04;0.17152358;
359.28;0.16791001;
359.52;0.16819504;
359.76;0.16941792;
360;0.17021579;
360.24;0.16927854;
360.48;0.17561561;
360.72;0.18331223;
360.96;0.18887296;
361.2;0.18628196;
361.44;0.17994601;
361.68;0.17676921;
361.92;0.1798447;
362.16;0.18588947;
362.4;0.18814891;
362.64;0.18627901;
362.88;0.18251653;
363.12;0.18506238;
363.36;0.19252236;
363.6;0.20278217;
363.84;0.21024614;
364.08;0.21224574;
364.32;0.21125387;
364.56;0.20856255;
364.8;0.20343458;
365.04;0.19926958;
365.28;0.19807697;
365.52;0.19932613;
365.76;0.19722144;
366;0.19190893;
366.24;0.18701688;
366.48;0.18723779;
366.72;0.18970275;
366.96;0.19267887;
367.2;0.19756636;
367.44;0.20390329;
367.68;0.2086194;
367.92;0.21145636;
368.16;0.21116279;
368.4;0.2067972;
368.64;0.19894355;
368.88;0.19355157;
369.12;0.19401494;
369.36;0.19994082;
369.6;0.20589143;
369.84;0.2053446;
370.08;0.19670405;
370.32;0.18504984;
370.56;0.18038273;
370.8;0.18324111;
371.04;0.18519451;
371.28;0.18077713;
371.52;0.1716554;
371.76;0.16384505;
372;0.1633915;
372.24;0.1690393;
372.48;0.1744956;
372.72;0.17531073;
372.96;0.17062782;
373.2;0.1740503;
373.44;0.18797431;
373.68;0.20155628;
373.92;0.20794457;
374.16;0.20693342;
374.4;0.20644686;
